gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
PMEL	P40967	PMEL_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome, multivesicular body;Golgi apparatus;Melanosome;Secreted	43.4704	109.1	12012.5	29919.531240997767	29919.531240997767
CD74	P04233	HG2A_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Endoplasmic reticulum membrane;Endosome;Golgi apparatus, trans-Golgi network;Lysosome	5066.99	4925.3	7675.0	23677.020744248846	23677.020744248846
MUC1	P15941	MUC1_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane (Single- pass type I membrane protein);Secreted;Secreted;Secreted;Cell membrane;Cytoplasm;Nucleus	1072.72	998.2	1495.5	5897.1401066212675	5897.1401066212675
EBP	Q15125	EBP_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	157.577	307.1	513.7	5032.291271905384	5032.291271905384
HM13	Q8TCT9	HM13_HUMAN	surface	machine learning	False	True	True	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)	72.0605	221.9	918.7	5018.35811948155	5018.35811948155
AQP2	P41181	AQP2_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane (Multi-pass membrane protein);Basolateral cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi- pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)	674.37	450.4	13.9	4806.928735713288	4806.928735713288
ITM2C	Q9NQX7	ITM2C_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Lysosome membrane (Single-pass type II membrane protein)	1308.31	1020.9	1640.3	4157.2092544492625	4157.2092544492625
TSPAN1	O60635	TSN1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	839.242	556.4	611.2	3843.752223782033	3843.752223782033
MMP14	P50281	MMP14_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Melanosome;Membrane (Single-pass type I membrane protein)	594.128	149.2	1918.5	3638.680349151422	3638.680349151422
ANO1	Q5XXA6	ANO1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Cytoplasm	121.449	83.9	349.7	3017.419404948302	3017.419404948302
FURIN	P09958	FURIN_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)	204.391	207.7	630.5	2954.092962308656	2954.092962308656
FGFR3	P22607	FGFR3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cytoplasmic vesicle;Endoplasmic reticulum;Cell membrane (Single-pass type I membrane protein);Secreted;Cell membrane (Single-pass type I membrane protein)	376.473	256.5	916.4	2878.6955424414855	2878.6955424414855
SLC15A3	Q8IY34	S15A3_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	75.9294	46.6	95.3	2724.9224761332466	2724.9224761332466
SYPL1	Q16563	SYPL1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Multi-pass membrane protein);Melanosome	239.699	189.5	452.6	2694.1219941948734	2694.1219941948734
UPK3A	O75631	UPK3A_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein)	27.2034	39.1	240.3	2454.9865621353906	2454.9865621353906
SLC39A4	Q6P5W5	S39A4_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Recycling endosome membrane (Multi- pass membrane protein)	93.1645	82.8	71.5	2299.651249804917	2299.651249804917
CUZD1	Q86UP6	CUZD1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)	2002.83	2277.5	5.0	853.5893168138491	2277.5
FOLH1	Q04609	FOLH1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Cytoplasm	48.7378	250.9	1014.1	2212.5576760783547	2212.5576760783547
C1ORF85	Q8WWB7	NCUG1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Single-pass type I membrane protein)	52.6716	0.0	0.0	1971.939081568535	1971.939081568535
CD1E	P15812	CD1E_HUMAN	surface	machine learning	False	True	False	False	False	Early endosome;Golgi apparatus membrane (Single-pass type I membrane protein);Late endosome;Lysosome lumen	9.7589	895.4	1645.8	1896.3364541359588	1896.3364541359588
ABCA2	Q9BZC7	ABCA2_HUMAN	surface	machine learning	False	True	False	False	False	Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)	505.46	178.1	57.9	1873.7324239003815	1873.7324239003815
NOTCH3	Q9UM47	NOTC3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Nucleus	415.749	200.8	411.0	1857.0529334700832	1857.0529334700832
EMP2	P54851	EMP2_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane;Cell membrane;Cytoplasm;Golgi apparatus membrane (Multi-pass membrane protein);Membrane raft;Nucleus	280.517	214.6	1005.7	1715.2452535570376	1715.2452535570376
QSOX1	O00391	QSOX1_HUMAN	surface	machine learning	False	True	False	False	False	Golgi apparatus membrane (Single- pass membrane protein);Secreted, extracellular space	127.972	235.8	1548.1	1591.530504292313	1591.530504292313
PMEPA1	Q969W9	PMEPA_HUMAN	surface	machine learning	False	True	False	False	False	Early endosome membrane (Single-pass membrane protein);Golgi apparatus membrane (Single-pass membrane protein)	187.313	127.6	1012.0	1588.3345373504687	1588.3345373504687
CXCR4	P61073	CXCR4_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction;Cell membrane (Multi-pass membrane protein);Early endosome;Late endosome;Lysosome	1506.44	1175.0	910.1	1320.344701953063	1506.44
PIGT	Q969N2	PIGT_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein)	55.3285	111.9	400.0	1437.8515286387412	1437.8515286387412
BACE2	Q9Y5Z0	BACE2_HUMAN	surface	machine learning	False	True	False	False	False	Cell surface;Endoplasmic reticulum;Endosome;Golgi apparatus;Membrane (Single-pass type I membrane protein)	43.4643	21.6	121.3	1424.8545966080944	1424.8545966080944
SERINC1	Q9NRX5	SERC1_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	652.195	451.3	579.8	1406.1150958718902	1406.1150958718902
RPN1	P04843	RPN1_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Melanosome	252.153	332.6	739.6	1310.4975117934762	1310.4975117934762
GPRC5B	Q9NZH0	GPC5B_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi- pass membrane protein)	295.563	213.2	266.0	1254.32792238262	1254.32792238262
GPRC5C	Q9NQ84	GPC5C_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi-pass membrane protein)	167.075	180.1	566.0	1198.736453400427	1198.736453400427
NRG1	Q02297	NRG1_HUMAN	surface	machine learning	False	True	True	False	False	Membrane (Single-pass type I membrane protein);Nucleus;Secreted;Secreted;Cell membrane (Single-pass type I membrane protein)	3.63851	15.9	807.4	1180.4316376418526	1180.4316376418526
PTTG1IP	P53801	PTTG_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Membrane (Single-pass type I membrane protein);Nucleus	401.139	234.8	1107.7	1152.3783514316565	1152.3783514316565
SLC18A2	Q05940	VMAT2_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Multi-pass membrane protein)	49.5138	36.4	302.6	1146.164769294989	1146.164769294989
KIAA1324	Q6UXG2	K1324_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein);Late endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass membrane protein)	142.969	0.0	0.0	1027.055618578716	1027.055618578716
SLC17A7	Q9P2U7	VGLU1_HUMAN	surface	machine learning	False	True	False	False	False	Cell junction, synapse, synaptosome;Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane;Membrane (Multi-pass membrane protein)	569.54	385.5	67.5	1025.2774062286755	1025.2774062286755
SLC18A1	P54219	VMAT1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein)	1.46087	23.7	182.9	1022.0843788382688	1022.0843788382688
SYP	P08247	SYPH_HUMAN	surface	machine learning	False	True	False	False	False	Cell junction, synapse, synaptosome;Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Multi-pass membrane protein)	445.834	419.3	253.8	996.8955563974546	996.8955563974546
DCSTAMP	Q9H295	DCSTP_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Multi-pass membrane protein);Endosome	2.8165	3.5	38.5	941.8140718368004	941.8140718368004
TMEM132A	Q24JP5	T132A_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus membrane (Single-pass type I membrane protein)	91.6153	107.2	323.4	906.2708102706094	906.2708102706094
GPR137B	O60478	G137B_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	85.3373	125.6	253.0	902.7598222463912	902.7598222463912
LMAN2	Q12907	LMAN2_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Single-pass type I membrane protein);Golgi apparatus membrane (Single-pass membrane protein)	254.335	213.3	480.1	899.3247704942975	899.3247704942975
ERMP1	Q7Z2K6	ERMP1_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	21.8366	20.9	183.2	891.1338794758894	891.1338794758894
STT3B	Q8TCJ2	STT3B_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	172.159	89.5	885.4	654.2951629643784	885.4
LAMP5	Q9UJQ1	LAMP5_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cell projection, dendrite;Cell projection, growth cone membrane (Single-pass type I membrane protein);Cytoplasmic vesicle;Early endosome membrane (Single-pass type I membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Single-pass type I membrane protein);Endosome membrane (Single-pass type I membrane protein);Recycling endosome	333.921	297.8	431.7	875.4605456880322	875.4605456880322
CHPT1	Q8WUD6	CHPT1_HUMAN	surface	machine learning	False	True	False	False	False	Golgi apparatus membrane (Multi-pass membrane protein)	65.7038	147.2	270.7	858.216791902247	858.216791902247
ACKR1	Q16570	ACKR1_HUMAN	surface	machine learning	False	True	False	False	False	Early endosome;Membrane (Multi-pass membrane protein);Recycling endosome	354.902	387.8	80.7	839.0414540036537	839.0414540036537
GPR143	P51810	GP143_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane (Multi-pass membrane protein);Golgi apparatus;Lysosome membrane (Multi-pass membrane protein);Melanosome membrane (Multi- pass membrane protein)	7.00274	23.3	387.9	799.3027236559129	799.3027236559129
LRP5	O75197	LRP5_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum;Membrane (Single-pass type I membrane protein)	84.0003	122.3	419.8	798.6935172990351	798.6935172990351
MFSD2A	Q8NA29	NLS1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein)	126.631	153.9	466.4	793.7265106321652	793.7265106321652
CD46	P15529	MCP_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane (Single- pass type I membrane protein)	141.115	286.1	407.8	772.7715295160742	772.7715295160742
GSG1	Q2KHT4	GSG1_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	435.159	406.3	765.4	125.11305004513666	765.4
ADAM15	Q13444	ADA15_HUMAN	surface	machine learning	False	True	False	False	False	Cell junction, adherens junction;Cell projection, cilium, flagellum;Cytoplasmic vesicle, secretory vesicle, acrosome;Endomembrane system (Single-pass type I membrane protein)	182.102	104.2	315.8	764.3545114986715	764.3545114986715
CLSTN1	O94985	CSTN1_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Single-pass type I membrane protein);Cell projection;Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus membrane;Nucleus	437.363	169.2	249.5	756.1863998209191	756.1863998209191
CLSTN3	Q9BQT9	CSTN3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane;Golgi apparatus membrane	236.369	137.4	133.3	735.8653735925861	735.8653735925861
PTGFRN	Q9P2B2	FPRP_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)	88.3117	45.7	228.0	730.1241672904404	730.1241672904404
HEPACAM2	A8MVW5	HECA2_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle;Golgi apparatus membrane (Single-pass type I membrane protein);Midbody	76.7348	90.3	583.1	715.1479772550969	715.1479772550969
UNC93B1	Q9H1C4	UN93B_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, phagosome;Endoplasmic reticulum membrane (Multi-pass membrane protein);Endosome;Lysosome	183.539	74.4	207.0	714.0087675386749	714.0087675386749
TMEM9	Q9P0T7	TMEM9_HUMAN	surface	machine learning	False	True	False	False	False	Late endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein)	79.5895	184.8	710.0	658.3896328674855	710.0
TP53I13	Q8NBR0	P5I13_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein|Extracellular side;Cytoplasm	220.162	113.8	177.3	706.4276284303282	706.4276284303282
CD1A	P06126	CD1A_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endosome membrane	13.1728	296.0	339.8	694.9175104312484	694.9175104312484
GDPD5	Q8WTR4	GDPD5_HUMAN	surface	machine learning	False	True	False	False	False	Cell projection, growth cone;Cytoplasm, perinuclear region;Endomembrane system (Multi- pass membrane protein)	86.6949	112.9	73.5	676.5242636970314	676.5242636970314
LAMP3	Q9UQV4	LAMP3_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein)	109.244	207.1	222.2	669.2947300264184	669.2947300264184
SLC2A12	Q8TD20	GTR12_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm, perinuclear region;Endomembrane system (Multi- pass membrane protein)	19.499	102.3	88.3	654.6127064731114	654.6127064731114
LDLRAD4	O15165	LRAD4_HUMAN	surface	machine learning	False	True	False	False	False	Early endosome membrane (Single-pass membrane protein)	8.49234	56.3	170.8	627.9899681465097	627.9899681465097
CLSTN2	Q9H4D0	CSTN2_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane;Golgi apparatus membrane	97.1456	39.7	197.7	625.7305336276156	625.7305336276156
SSR1	P43307	SSRA_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein)	54.3778	96.0	428.6	625.4270004373567	625.4270004373567
M6PR	P20645	MPRD_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Single-pass type I membrane protein)	156.418	129.8	615.6	568.7289617817421	615.6
GRIA1	P42261	GRIA1_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Cell membrane (Multi-pass membrane protein);Cell projection, dendrite;Cell projection, dendritic spine;Endoplasmic reticulum membrane (Multi-pass membrane protein)	74.7012	54.8	175.8	593.7853011406926	593.7853011406926
SLC24A5	Q71RS6	NCKX5_HUMAN	surface	machine learning	False	True	False	False	False	Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein);Melanosome	0.335328	7.8	365.9	564.4091020870989	564.4091020870989
ANTXR2	P58335	ANTR2_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Secreted	104.389	103.3	203.3	554.9436213522087	554.9436213522087
RNF128	Q8TEB7	RN128_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm, cytoskeleton;Cytoplasm, perinuclear region;Endomembrane system (Single- pass membrane protein)	33.577	116.5	238.6	507.7227721881712	507.7227721881712
NPC1	O15118	NPC1_HUMAN	surface	machine learning	False	True	False	False	False	Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)	42.5624	80.7	267.2	501.9142601484238	501.9142601484238
RPRM	Q9NS64	RPRM_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Membrane (Single-pass membrane protein)	57.5364	25.6	215.1	492.0963714251211	492.0963714251211
BACE1	P56817	BACE1_HUMAN	surface	machine learning	False	True	False	False	False	Cell surface;Cytoplasmic vesicle membrane;Endoplasmic reticulum;Endosome;Golgi apparatus, trans-Golgi network;Membrane (Single-pass type I membrane protein)	131.338	243.6	118.5	490.69986352251226	490.69986352251226
ANO7	Q6IWH7	ANO7_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction;Cell membrane (Multi-pass membrane protein);Endoplasmic reticulum;Cytoplasm, cytosol	90.3791	66.6	49.2	483.7094849905693	483.7094849905693
TMEM30A	Q9NV96	CC50A_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane;Cell membrane;Cytoplasmic vesicle, secretory vesicle membrane;Golgi apparatus;Membrane (Multi-pass membrane protein)	158.586	97.4	470.7	293.0686984527675	470.7
SCAP	Q12770	SCAP_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, COPII-coated vesicle membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein)	96.8597	55.5	76.7	469.4074492283626	469.4074492283626
GRIA2	P42262	GRIA2_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein)	74.2421	78.8	52.8	469.212268332034	469.212268332034
FLT3	P36888	FLT3_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum lumen;Membrane (Single-pass type I membrane protein)	21.7277	8.9	431.3	468.3349581241106	468.3349581241106
TM9SF2	Q99805	TM9S2_HUMAN	surface	machine learning	False	True	False	False	False	Endosome membrane (Multi-pass membrane protein)	99.0219	158.3	400.0	461.5671929940824	461.5671929940824
SLC2A10	O95528	GTR10_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm, perinuclear region;Endomembrane system (Multi-pass membrane protein)	45.1208	40.4	126.1	458.7921369087704	458.7921369087704
GPR37	O15354	GPR37_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein)	124.963	67.2	33.0	458.2836010821396	458.2836010821396
FZD8	Q9H461	FZD8_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Golgi apparatus;Membrane (Multi-pass membrane protein)	21.361	18.5	149.4	452.4757962165288	452.4757962165288
LRIG3	Q6UXM1	LRIG3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cytoplasmic vesicle membrane (Single-pass type I membrane protein)	52.2103	54.6	53.2	444.98002272459047	444.98002272459047
SGCA	Q16586	SGCA_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane, sarcolemma (Single-pass type I membrane protein);Cytoplasm, cytoskeleton	229.619	435.8	121.1	413.228660380704	435.8
SORL1	Q92673	SORL_HUMAN	surface	machine learning	False	True	False	False	False	Endosome;Golgi apparatus;Membrane (Single-pass type I membrane protein);Secreted	120.972	54.5	179.3	420.8599955735696	420.8599955735696
SLC11A2	P49281	NRAM2_HUMAN	surface	machine learning	False	True	False	False	False	Endosome membrane (Multi-pass membrane protein);Mitochondrion outer membrane (Multi-pass membrane protein)	35.8535	50.5	418.6	339.1537762690748	418.6
CLEC7A	Q9BXN2	CLC7A_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single- pass type II membrane protein);Cytoplasm;Cytoplasm;Cytoplasm	69.3612	79.1	293.9	417.8370309634265	417.8370309634265
OSTM1	Q86WC4	OSTM1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Single-pass type I membrane protein)	43.0762	21.7	39.3	416.76679789730474	416.76679789730474
TGOLN2	O43493	TGON2_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single- pass type I membrane protein)	163.661	128.0	416.5	316.0470273647459	416.5
SLC32A1	Q9H598	VIAAT_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Multi-pass membrane protein)	54.4059	44.4	47.4	399.04188763087814	399.04188763087814
SUCO	Q9UBS9	SUCO_HUMAN	surface	machine learning	False	True	False	False	False	Rough endoplasmic reticulum membrane (Single-pass type I membrane protein)	39.5731	78.7	143.6	399.01422904421446	399.01422904421446
SLC36A1	Q7Z2H8	S36A1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)	67.8566	97.0	149.7	397.46840396747933	397.46840396747933
RNF130	Q86XS8	GOLI_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Membrane (Single-pass type I membrane protein)	45.1115	167.8	166.0	392.86676811385274	392.86676811385274
PTPRN2	Q92932	PTPR2_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)	103.995	92.5	390.9	390.9109831639924	390.9109831639924
SLC6A17	Q9H1V8	S6A17_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane (Multi-pass membrane protein)	85.9347	53.7	101.5	371.2625832824798	371.2625832824798
TMED7	Q9Y3B3	TMED7_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, COPI-coated vesicle membrane (Single-pass type I membrane protein);Cytoplasmic vesicle, COPII-coated vesicle membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Single-pass type I membrane protein);Golgi apparatus, cis-Golgi network membrane (Single-pass type I membrane protein)	99.1807	75.0	217.0	367.3715443011401	367.3715443011401
CLN3	Q13286	CLN3_HUMAN	surface	machine learning	False	True	False	False	False	Late endosome;Lysosome membrane (Multi- pass membrane protein)	37.5801	39.2	254.3	367.01521667972634	367.01521667972634
RNF13	O43567	RNF13_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane;Golgi apparatus membrane;Late endosome membrane (Single- pass membrane protein);Lysosome membrane;Nucleus inner membrane	154.546	173.4	78.2	362.8164412231841	362.8164412231841
KDR	P35968	VGFR2_HUMAN	surface	machine learning	False	True	True	False	False	Cell junction;Cell membrane (Single-pass type I membrane protein);Cytoplasm;Cytoplasmic vesicle;Early endosome;Nucleus;Secreted;Secreted	80.2366	29.0	359.1	344.84298683639526	359.1
ECSCR	Q19T08	ECSCR_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cytoplasm	127.612	60.5	359.0	279.4400192882546	359.0
RNF43	Q68DV7	RNF43_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Nucleus envelope	17.0486	21.4	141.9	343.57846450657934	343.57846450657934
RELT	Q969Z4	TR19L_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cytoplasm	61.8266	146.0	77.7	337.4419962113046	337.4419962113046
HEPACAM	Q14CZ8	HECAM_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Membrane (Single-pass type I membrane protein|Cytoplasmic side	66.3814	55.0	23.0	325.51846405396344	325.51846405396344
SLC6A4	P31645	SC6A4_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Endomembrane system (Multi-pass membrane protein);Endosome membrane (Multi-pass membrane protein)	35.0808	38.0	41.0	323.71839632415913	323.71839632415913
LMBRD1	Q9NUN5	LMBD1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	43.4781	49.6	35.0	319.97058890610316	319.97058890610316
GUCY2C	P25092	GUC2C_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein)	38.9349	64.2	60.7	314.4518715586207	314.4518715586207
SIDT2	Q8NBJ9	SIDT2_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	99.5413	109.1	64.6	311.3072499907845	311.3072499907845
PSEN2	P49810	PSN2_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein)	11.1105	34.1	92.7	309.52139781203203	309.52139781203203
PIGO	Q8TEQ8	PIGO_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	37.7687	19.2	64.9	309.4999440978334	309.4999440978334
TMEM106B	Q9NUM4	T106B_HUMAN	surface	machine learning	False	True	False	False	False	Late endosome membrane (Single-pass type II membrane protein);Lysosome membrane (Single-pass type II membrane protein)	14.4409	47.5	305.0	217.95604102928	305.0
MRVI1	Q9Y6F6	MRVI1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm, perinuclear region;Membrane (Single-pass membrane protein);Sarcoplasmic reticulum	303.424	0.0	0.0	267.9824321854916	303.424
SERINC5	Q86VE9	SERC5_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	41.2851	42.5	102.3	301.4960341363154	301.4960341363154
DYNAP	Q8N1N2	DYNAP_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass membrane protein);Golgi apparatus membrane (Single-pass membrane protein)	20.9655	27.6	9.2	295.3936731494304	295.3936731494304
